league,total,l30,l7,weeks,is_women,volume_s,recency_s,consistency_s,gender_s,total_score,decision,reason
NCAA Men's March Madness,38,38,0,2,0,2.0,14.0,0.0,15.0,31.0,dormant,volumen insuficiente (38 muestras). Esperar a acumular mas data.
CBI U19; Sede Rio,38,38,0,2,0,2.0,14.0,0.0,15.0,31.0,dormant,volumen insuficiente (38 muestras). Esperar a acumular mas data.
Egyptian Basketball Super League; Regular Season,25,9,0,4,0,2.0,6.0,8.0,15.0,31.0,dormant,volumen insuficiente (25 muestras). Esperar a acumular mas data.
LBF; Women,25,18,5,7,1,2.0,16.0,12.0,0.0,30.0,dormant,volumen insuficiente (25 muestras). Esperar a acumular mas data.
NBL Women ; Regular Season,57,13,2,10,1,8.0,9.0,12.0,0.0,29.0,dormant,volumen insuficiente (57 muestras). Esperar a acumular mas data.
Swedish Basketball League Women,56,7,0,8,1,8.0,6.0,15.0,0.0,29.0,dormant,volumen insuficiente (56 muestras). Esperar a acumular mas data.
France LF2; Women; Phase 1,54,14,0,8,1,8.0,6.0,15.0,0.0,29.0,dormant,volumen insuficiente (54 muestras). Esperar a acumular mas data.
1. liga; Women,54,6,0,5,1,8.0,6.0,15.0,0.0,29.0,dormant,volumen insuficiente (54 muestras). Esperar a acumular mas data.
Swedish Basketball League,49,0,0,9,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (49 muestras). Esperar a acumular mas data.
Nationale 1; Group A,49,0,0,5,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (49 muestras). Esperar a acumular mas data.
Nationale 1; Group B,48,0,0,5,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (48 muestras). Esperar a acumular mas data.
Slovenian Second Basketball League; Regular Season,41,0,0,8,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (41 muestras). Esperar a acumular mas data.
NBL; East,40,0,0,8,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (40 muestras). Esperar a acumular mas data.
The League,32,0,0,6,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (32 muestras). Esperar a acumular mas data.
Basket World League,32,0,0,5,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (32 muestras). Esperar a acumular mas data.
A1,32,0,0,9,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (32 muestras). Esperar a acumular mas data.
Israeli Basketball Super League,29,0,0,6,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (29 muestras). Esperar a acumular mas data.
Basketligaen,29,0,0,6,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (29 muestras). Esperar a acumular mas data.
Lebanese Basketball League,28,0,0,6,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (28 muestras). Esperar a acumular mas data.
Druga RL Istok,28,4,0,7,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (28 muestras). Esperar a acumular mas data.
Cyprus Basketball Division A,27,0,0,6,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (27 muestras). Esperar a acumular mas data.
LMBPF Temporada; Regular,25,0,0,8,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (25 muestras). Esperar a acumular mas data.
Georgian cup ; Playoff,24,4,0,4,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (24 muestras). Esperar a acumular mas data.
CEL ESB Cup (Cyber); Playoff,24,0,0,6,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (24 muestras). Esperar a acumular mas data.
ARDU Juniorska Liga U19,21,0,0,5,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (21 muestras). Esperar a acumular mas data.
Superliga; Women,20,7,3,12,1,2.0,12.0,15.0,0.0,29.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
Liga de Baloncesto Puertorriquena ; Seccion Norte,20,0,0,4,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
Liga de Baloncesto Puertorriquena ; Seccion Este,20,0,0,4,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
Azerbaijan Basketball League; A Group,20,1,0,8,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
Austrian Basketball Superliga,20,0,0,4,0,2.0,0.0,12.0,15.0,29.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
NCAA Women's March Madness,36,36,0,3,1,2.0,14.0,12.0,0.0,28.0,dormant,volumen insuficiente (36 muestras). Esperar a acumular mas data.
NCAA Division I; Championship,26,25,0,1,0,2.0,10.0,0.0,15.0,27.0,dormant,volumen insuficiente (26 muestras). Esperar a acumular mas data.
EYBL U17; SUPERFINAL - 02./05.04.2026 - Warsaw; Poland,20,20,0,1,0,2.0,10.0,0.0,15.0,27.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
EGBL U17; Superfinal,20,20,0,1,0,2.0,10.0,0.0,15.0,27.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
SLB; Women,39,10,3,11,1,2.0,12.0,12.0,0.0,26.0,dormant,volumen insuficiente (39 muestras). Esperar a acumular mas data.
A1 Liga; Women,38,14,5,9,1,2.0,12.0,12.0,0.0,26.0,dormant,volumen insuficiente (38 muestras). Esperar a acumular mas data.
Estonian National Women's Basketball League,23,11,3,11,1,2.0,12.0,12.0,0.0,26.0,dormant,volumen insuficiente (23 muestras). Esperar a acumular mas data.
Korisliiga; Women; Playoffs,21,21,5,5,1,2.0,16.0,8.0,0.0,26.0,dormant,volumen insuficiente (21 muestras). Esperar a acumular mas data.
Basket Liga; Women; Playoffs,20,20,5,5,1,2.0,16.0,8.0,0.0,26.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
NKL,40,0,0,5,0,2.0,0.0,8.0,15.0,25.0,dormant,volumen insuficiente (40 muestras). Esperar a acumular mas data.
Kadınlar Bölgesel Basketbol Ligi; Playoff Maçları,27,0,0,4,0,2.0,0.0,8.0,15.0,25.0,dormant,volumen insuficiente (27 muestras). Esperar a acumular mas data.
ABA League 2,21,0,0,6,0,2.0,0.0,8.0,15.0,25.0,dormant,volumen insuficiente (21 muestras). Esperar a acumular mas data.
Womens National Invitation Tournament,42,42,0,3,1,2.0,14.0,8.0,0.0,24.0,dormant,volumen insuficiente (42 muestras). Esperar a acumular mas data.
NCAA Division II; Championship,56,2,0,2,0,8.0,0.0,0.0,15.0,23.0,dormant,volumen insuficiente (56 muestras). Esperar a acumular mas data.
Erkekler Basketbol Gençler Ligi - A Grubu,36,8,0,2,0,2.0,6.0,0.0,15.0,23.0,dormant,volumen insuficiente (36 muestras). Esperar a acumular mas data.
Swiss Basketball League Women,35,8,0,8,1,2.0,6.0,15.0,0.0,23.0,dormant,volumen insuficiente (35 muestras). Esperar a acumular mas data.
Kızlar Basketbol Gençler Ligi - A Grubu,34,7,0,2,0,2.0,6.0,0.0,15.0,23.0,dormant,volumen insuficiente (34 muestras). Esperar a acumular mas data.
1 Liga Kobiet; Runda Zasadnicza,89,8,0,11,1,8.0,6.0,8.0,0.0,22.0,dormant,volumen insuficiente (89 muestras). Esperar a acumular mas data.
NBL1 East; Women,20,20,10,2,1,2.0,19.0,0.0,0.0,21.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
1 Division; Women,48,14,0,9,1,2.0,6.0,12.0,0.0,20.0,dormant,volumen insuficiente (48 muestras). Esperar a acumular mas data.
Top Division Women; Regular Season,42,6,0,9,1,2.0,6.0,12.0,0.0,20.0,dormant,volumen insuficiente (42 muestras). Esperar a acumular mas data.
France LFB Women,42,11,0,7,1,2.0,6.0,12.0,0.0,20.0,dormant,volumen insuficiente (42 muestras). Esperar a acumular mas data.
Portugal LFB Women,41,6,0,8,1,2.0,6.0,12.0,0.0,20.0,dormant,volumen insuficiente (41 muestras). Esperar a acumular mas data.
1. ZLS; Women,34,12,0,5,1,2.0,6.0,12.0,0.0,20.0,dormant,volumen insuficiente (34 muestras). Esperar a acumular mas data.
1st Division Women,32,6,0,10,1,2.0,6.0,12.0,0.0,20.0,dormant,volumen insuficiente (32 muestras). Esperar a acumular mas data.
Rwanda Basketball League Women; Regular Season,26,6,0,8,1,2.0,6.0,12.0,0.0,20.0,dormant,volumen insuficiente (26 muestras). Esperar a acumular mas data.
1. SKL; Women,24,5,0,10,1,2.0,6.0,12.0,0.0,20.0,dormant,volumen insuficiente (24 muestras). Esperar a acumular mas data.
NCAA Men's Division III; Championship,42,2,0,2,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (42 muestras). Esperar a acumular mas data.
Hungary Divison A Women,35,0,0,6,1,2.0,0.0,15.0,0.0,17.0,dormant,volumen insuficiente (35 muestras). Esperar a acumular mas data.
A1 Women,34,0,0,7,1,2.0,0.0,15.0,0.0,17.0,dormant,volumen insuficiente (34 muestras). Esperar a acumular mas data.
EYBL U16; SUPERFINAL - 12./15.03.2026 - Riga; Latvia,32,0,0,1,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (32 muestras). Esperar a acumular mas data.
EYBL U15; SUPERFINAL - 12./15.03.2026 - Riga; Latvia,32,0,0,1,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (32 muestras). Esperar a acumular mas data.
EYBL U13; SUPERFINAL - 12./15.03.2026 - Riga; Latvia,32,0,0,1,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (32 muestras). Esperar a acumular mas data.
EYBL U17; Group G,26,0,0,2,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (26 muestras). Esperar a acumular mas data.
EYBL U20; Group A,22,0,0,1,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (22 muestras). Esperar a acumular mas data.
EYBL U17; Group B,22,0,0,1,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (22 muestras). Esperar a acumular mas data.
EYBL U16; Group F,22,0,0,1,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (22 muestras). Esperar a acumular mas data.
EYBL U14; Group D,22,0,0,1,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (22 muestras). Esperar a acumular mas data.
EYBL U20; Group E,20,0,0,1,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
EYBL U14; Group C,20,0,0,1,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
EYBL U13; Group A,20,0,0,1,0,2.0,0.0,0.0,15.0,17.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
Finland Division 1A Women,42,0,0,6,1,2.0,0.0,12.0,0.0,14.0,dormant,volumen insuficiente (42 muestras). Esperar a acumular mas data.
Korisliiga; Women,40,0,0,8,1,2.0,0.0,12.0,0.0,14.0,dormant,volumen insuficiente (40 muestras). Esperar a acumular mas data.
Women First Division; Aller - Retour,38,0,0,7,1,2.0,0.0,12.0,0.0,14.0,dormant,volumen insuficiente (38 muestras). Esperar a acumular mas data.
Russian Women's Basketball Premier League,31,0,0,4,1,2.0,0.0,12.0,0.0,14.0,dormant,volumen insuficiente (31 muestras). Esperar a acumular mas data.
2. ZLS; Women,31,1,0,6,1,2.0,0.0,12.0,0.0,14.0,dormant,volumen insuficiente (31 muestras). Esperar a acumular mas data.
Austrian Women's Basketball Bundesliga,26,4,0,7,1,2.0,0.0,12.0,0.0,14.0,dormant,volumen insuficiente (26 muestras). Esperar a acumular mas data.
Extraliga; Women; Placement 1-4,25,3,0,7,1,2.0,0.0,12.0,0.0,14.0,dormant,volumen insuficiente (25 muestras). Esperar a acumular mas data.
ZBL; Women,22,0,0,5,1,2.0,0.0,12.0,0.0,14.0,dormant,volumen insuficiente (22 muestras). Esperar a acumular mas data.
EuroCup; Women; Playoffs,22,2,0,8,1,2.0,0.0,12.0,0.0,14.0,dormant,volumen insuficiente (22 muestras). Esperar a acumular mas data.
Campeonato Nacional da 1ª Divisao Feminina; 1ª Fase - Sul,22,1,0,5,1,2.0,0.0,12.0,0.0,14.0,dormant,volumen insuficiente (22 muestras). Esperar a acumular mas data.
NCAA Division I; Championship Women,28,28,0,2,1,2.0,10.0,0.0,0.0,12.0,dormant,volumen insuficiente (28 muestras). Esperar a acumular mas data.
Basket Liga; Women,33,0,0,7,1,2.0,0.0,8.0,0.0,10.0,dormant,volumen insuficiente (33 muestras). Esperar a acumular mas data.
